,id,full_name,first_name,last_name,is_active
0,1630173,Precious Achiuwa,Precious,Achiuwa,True
1,203500,Steven Adams,Steven,Adams,True
2,1628389,Bam Adebayo,Bam,Adebayo,True
3,1630534,Ochai Agbaji,Ochai,Agbaji,True
4,1630583,Santi Aldama,Santi,Aldama,True
5,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
6,1628960,Grayson Allen,Grayson,Allen,True
7,1628386,Jarrett Allen,Jarrett,Allen,True
8,1630631,Jose Alvarado,Jose,Alvarado,True
9,203937,Kyle Anderson,Kyle,Anderson,True
10,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
11,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
12,1630175,Cole Anthony,Cole,Anthony,True
13,1628384,OG Anunoby,OG,Anunoby,True
14,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
15,1630166,Deni Avdija,Deni,Avdija,True
16,1629028,Deandre Ayton,Deandre,Ayton,True
17,1628962,Udoka Azubuike,Udoka,Azubuike,True
18,1628963,Marvin Bagley III,Marvin,Bagley III,True
19,1641735,Amari Bailey,Amari,Bailey,True
20,1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,True
21,1630163,LaMelo Ball,LaMelo,Ball,True
22,1628366,Lonzo Ball,Lonzo,Ball,True
23,1628964,Mo Bamba,Mo,Bamba,True
24,1631094,Paolo Banchero,Paolo,Banchero,True
25,1630217,Desmond Bane,Desmond,Bane,True
26,1630625,Dalano Banton,Dalano,Banton,True
27,1631230,Dominick Barlow,Dominick,Barlow,True
28,203084,Harrison Barnes,Harrison,Barnes,True
29,1630567,Scottie Barnes,Scottie,Barnes,True
30,1629628,RJ Barrett,RJ,Barrett,True
31,1629646,Charles Bassey,Charles,Bassey,True
32,1641734,Emoni Bates,Emoni,Bates,True
33,1628966,Keita Bates-Diop,Keita,Bates-Diop,True
34,201587,Nicolas Batum,Nicolas,Batum,True
35,203078,Bradley Beal,Bradley,Beal,True
36,1627736,Malik Beasley,Malik,Beasley,True
37,1630699,MarJon Beauchamp,MarJon,Beauchamp,True
38,1641777,Charles Bediako,Charles,Bediako,True
39,202722,Davis Bertans,Davis,Bertans,True
40,201976,Patrick Beverley,Patrick,Beverley,True
41,1630180,Saddiq Bey,Saddiq,Bey,True
42,1629048,Goga Bitadze,Goga,Bitadze,True
43,1641931,Onuralp Bitim,Onuralp,Bitim,True
44,202687,Bismack Biyombo,Bismack,Biyombo,True
45,1641710,Anthony Black,Anthony,Black,True
46,1641778,Leaky Black,Leaky,Black,True
47,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
48,202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
49,1629626,Bol Bol,Bol,Bol,True
50,1629716,Marques Bolden,Marques,Bolden,True
51,1626164,Devin Booker,Devin,Booker,True
52,1630527,Brandon Boston Jr.,Brandon,Boston Jr.,True
53,1628449,Chris Boucher,Chris,Boucher,True
54,1630547,James Bouknight,James,Bouknight,True
55,1631103,Malaki Branham,Malaki,Branham,True
56,1631128,Christian Braun,Christian,Braun,True
57,1628969,Mikal Bridges,Mikal,Bridges,True
58,1628970,Miles Bridges,Miles,Bridges,True
59,1629052,Oshae Brissett,Oshae,Brissett,True
60,1627763,Malcolm Brogdon,Malcolm,Brogdon,True
61,1629717,Armoni Brooks,Armoni,Brooks,True
62,1628415,Dillon Brooks,Dillon,Brooks,True
63,1628971,Bruce Brown,Bruce,Brown,True
64,1627759,Jaylen Brown,Jaylen,Brown,True
65,1631112,Kendall Brown,Kendall,Brown,True
66,1641738,Kobe Brown,Kobe,Brown,True
67,1629650,Moses Brown,Moses,Brown,True
68,1630535,Greg Brown III,Greg,Brown III,True
69,1629718,Charlie Brown Jr.,Charlie,Brown Jr.,True
70,1628972,Troy Brown Jr.,Troy,Brown Jr.,True
71,1628973,Jalen Brunson,Jalen,Brunson,True
72,1628418,Thomas Bryant,Thomas,Bryant,True
73,1641723,Kobe Bufkin,Kobe,Bufkin,True
74,203493,Reggie Bullock Jr.,Reggie,Bullock Jr.,True
75,202692,Alec Burks,Alec,Burks,True
76,1630215,Jared Butler,Jared,Butler,True
77,202710,Jimmy Butler,Jimmy,Butler,True
78,1631219,John Butler Jr.,John,Butler Jr.,True
79,1631288,Jamal Cain,Jamal,Cain,True
80,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
81,1641739,Toumani Camara,Toumani,Camara,True
82,1628427,Vlatko Cancar,Vlatko,Cancar,True
83,203991,Clint Capela,Clint,Capela,True
84,1628975,Jevon Carter,Jevon,Carter,True
85,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
86,1627936,Alex Caruso,Alex,Caruso,True
87,1630658,Colin Castleton,Colin,Castleton,True
88,1630608,Malcolm Cazalon,Malcolm,Cazalon,True
89,1630577,Julian Champagnie,Julian,Champagnie,True
90,1631108,Max Christie,Max,Christie,True
91,1630528,Josh Christopher,Josh,Christopher,True
92,1631321,Sidy Cissoko,Sidy,Cissoko,True
93,1641740,Jaylen Clark,Jaylen,Clark,True
94,1629634,Brandon Clarke,Brandon,Clarke,True
95,203903,Jordan Clarkson,Jordan,Clarkson,True
96,1629651,Nic Claxton,Nic,Claxton,True
97,1641730,Noah Clowney,Noah,Clowney,True
98,1629599,Amir Coffey,Amir,Coffey,True
99,1628381,John Collins,John,Collins,True
100,1628380,Zach Collins,Zach,Collins,True
101,201144,Mike Conley,Mike,Conley,True
102,1626192,Pat Connaughton,Pat,Connaughton,True
